Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Train F1,Test F1,Train Precision,Test Precision,Train Recall,Test Recall,Learning Rate
1,0.5097261613601818,0.4116345576389957,0.7677362225231795,0.8976998083173597,0.7716546137845702,0.8972436079015806,0.7718075053510474,0.9039001814952636,0.7716922796059638,0.8973463241686326,9.779754323328192e-06
2,0.3885491622190995,0.380702410395299,0.9150223981664757,0.9299108259021586,0.9197054104039359,0.9298820683751001,0.920003596308856,0.930965833332266,0.9197322020510846,0.9300580379803634,9.140576474687263e-06
3,0.366926889007744,0.3673681668668342,0.9368475882904469,0.9427868989082423,0.9416543700131484,0.9427644754398532,0.9416543487314075,0.943829524993603,0.9416543921208826,0.9429319008435295,8.145033635316128e-06
4,0.3594430612330512,0.3605302814936,0.9452338785290134,0.9512876073006084,0.9500803276296099,0.9512851338477564,0.9501776007969833,0.9512957772821239,0.9500741074083767,0.9512780885960279,6.890576474687263e-06
5,0.35586276704140635,0.35832769310030305,0.9490363579539536,0.9531627635636303,0.9539005414936388,0.9531610770813366,0.9540711692987107,0.9531624964291265,0.9538927095307137,0.9531597769109997,5.5e-06
6,0.35401646520137936,0.3618716167374366,0.9510990728200854,0.9498291524293692,0.9559718251193849,0.9498128890949931,0.9562327322960442,0.950154157032866,0.9559638116149747,0.9497570417536169,4.109423525312737e-06
7,0.3529381099709969,0.35623304602881056,0.952588811334514,0.9552879406617218,0.9574691882574451,0.9552864834258166,0.9577286630301558,0.9554715503642253,0.9574570448729679,0.9553523606520302,2.8549663646838717e-06
8,0.35183627784394983,0.35716373279239944,0.9535055734972393,0.9547045587132261,0.9583908113634152,0.9547029949981796,0.958653515330012,0.9548942141742434,0.9583793416764308,0.9547699179363878,1.859423525312737e-06
9,0.35123674245362035,0.3578032336664037,0.954318158141473,0.9544128677389783,0.9592071123094781,0.95441035957415,0.9595100141357727,0.9544242482085119,0.9591997894531908,0.9544017749656112,1.220245676671809e-06
10,0.35040331238917427,0.3559123982224964,0.9552349203041983,0.956413034419535,0.9601285198491074,0.9564129133241125,0.9604373421706723,0.956476822141517,0.9601195744478894,0.9564542473899649,1e-06
